Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,Week,DayOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd,Season,Lag_1,Lag_7,Lag_14,Lag_21,Lag_28,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_14,Rolling_Std_14,Rolling_Mean_28,Rolling_Std_28
1,1,2015-06-02,5450,590,1,1,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,2,23,153,2,0,0,0,2,5774.0,4211.0,5235.0,3547.0,4564.0,4061.0,1921.351954570883,3634.785714285714,2051.652211439179,3555.464285714286,1964.4668767348478
1,2,2015-06-03,5809,616,1,1,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,3,23,154,2,0,0,0,2,5450.0,4083.0,4735.0,3998.0,4960.0,4238.0,1993.2000234129414,3650.1428571428573,2065.3108112951727,3587.1071428571427,1988.3046815349414
1,3,2015-06-04,0,0,0,1,1,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,4,23,155,2,0,0,0,2,5809.0,4111.0,3755.0,0.0,4529.0,4484.571428571428,2075.8737804551047,3726.8571428571427,2127.7104291537535,3617.4285714285716,2016.2931596918424
1,4,2015-06-05,5384,609,1,1,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,5,23,156,2,0,0,0,2,0.0,4656.0,4459.0,4178.0,4683.0,3897.285714285714,2689.8886417028352,3458.6428571428573,2349.0505318317178,3455.6785714285716,2119.478360938554
1,5,2015-06-06,4183,460,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,6,23,157,2,1,0,0,2,5384.0,5592.0,4276.0,4431.0,4945.0,4001.285714285714,2737.7595897793126,3524.714285714286,2391.9684339495298,3480.714285714286,2138.5668939241455
1,6,2015-06-07,0,0,0,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,7,23,158,2,1,0,0,2,4183.0,0.0,0.0,0.0,0.0,3800.0,2651.760484407799,3518.0714285714284,2389.8497044563464,3453.5,2124.0421021843845
1,0,2015-06-08,4071,502,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,8,24,159,2,0,0,0,2,0.0,5774.0,0.0,5280.0,3551.0,3800.0,2651.760484407799,3518.0714285714284,2389.8497044563464,3453.5,2124.0421021843845
1,1,2015-06-09,4102,485,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,9,24,160,2,0,0,0,2,4071.0,5450.0,4211.0,5235.0,3547.0,3556.714285714286,2515.069628876159,3808.8571428571427,2166.0505661099037,3472.0714285714284,2127.197111286248
1,2,2015-06-10,3591,453,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,10,24,161,2,0,0,0,2,4102.0,5809.0,4083.0,4735.0,3998.0,3364.1428571428573,2394.6701532480765,3801.0714285714284,2164.6893706554183,3491.8928571428573,2130.504362808745
1,3,2015-06-11,3627,442,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,11,24,162,2,0,0,0,2,3591.0,0.0,4111.0,3755.0,0.0,3047.285714285714,2151.6667736343215,3765.9285714285716,2163.7538059971175,3477.3571428571427,2128.3107579814773
1,4,2015-06-12,3695,422,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,12,24,163,2,0,0,0,2,3627.0,5384.0,4656.0,4459.0,4178.0,3565.4285714285716,1680.7158055565617,3731.3571428571427,2161.6818810696996,3606.8928571428573,2016.2546381528857
1,5,2015-06-13,4256,502,1,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,13,24,164,2,1,0,0,2,3695.0,4183.0,5592.0,4276.0,4431.0,3324.1428571428573,1486.0960521414827,3662.714285714286,2145.2574322326514,3589.6428571428573,2013.2514923448036
1,6,2015-06-14,0,0,0,0,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,14,24,165,2,1,0,0,2,4256.0,0.0,0.0,0.0,0.0,3334.5714285714284,1493.3658691183628,3567.285714285714,2081.6050548544463,3583.3928571428573,2010.8129798534467
1,0,2015-06-15,5518,586,1,1,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,15,25,166,2,0,0,0,2,0.0,4071.0,5774.0,0.0,5280.0,3334.5714285714284,1493.3658691183628,3567.285714285714,2081.6050548544463,3583.3928571428573,2010.8129798534467
1,1,2015-06-16,4852,503,1,1,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,0,2015,6,16,25,167,2,0,0,0,2,5518.0,4102.0,5450.0,4211.0,5235.0,3541.285714285714,1698.3701711038325,3549.0,2061.758995092814,3591.8928571428573,2018.7378223787887
